protocol,site,start_date,site_end,trap_nights,marten_events,detected,events_per_100_trap_nights
Ground-based lure,KB19PM,2023-07-20T12:06:36Z,2023-11-02T13:30:32Z,105.01449074074074,1,TRUE,0.9522495352272813
Ground-based lure,KB20PM,2023-07-19T13:47:58Z,2023-11-02T10:27:30Z,105.80685185185186,1,TRUE,0.9451183760766035
Ground-based lure,KB21PM,2023-07-20T13:55:06Z,2023-11-02T14:14:38Z,104.07506944444444,1,TRUE,0.9608449029513286
Ground-based lure,KB22PM,2023-07-20T13:19:22Z,2023-11-02T13:50:36Z,104.89664351851852,0,FALSE,0
Ground-based lure,KB23PM,2023-07-19T14:19:16Z,2023-11-03T15:16:48Z,106.8637962962963,0,FALSE,0
Ground-based lure,KB24PM,2023-07-20T14:27:40Z,2023-11-02T14:39:26Z,104.96046296296296,3,TRUE,2.858219100137353
Ground-based lure,KB25PM,2023-07-20T12:42:36Z,2023-11-02T15:20:58Z,105.04328703703703,1,TRUE,0.951988487991062
Ground-based lure,KB26PM,2023-07-19T14:49:56Z,2023-11-03T14:39:54Z,106.764375,1,TRUE,0.936642021273482
Ground-based lure,KB27PM,2023-07-19T15:30:48Z,2023-11-03T13:55:48Z,106.68719907407407,2,TRUE,1.8746391482368736
Tree-mounted bait,KS02,2024-09-07T11:00:00Z,2024-12-01T00:00:00Z,84.55421296296296,7,TRUE,8.27871226601824
Tree-mounted bait,KS03,2024-09-06T13:05:40Z,2024-12-01T00:00:00Z,84.54884259259259,1,TRUE,1.1827483018526985
Tree-mounted bait,KS04,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.48828703703704,0,FALSE,0
Tree-mounted bait,KS07,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,86.41298611111111,0,FALSE,0
Tree-mounted bait,KS08,2024-09-06T09:45:04Z,2024-12-01T00:00:00Z,84.55025462962963,0,FALSE,0
Tree-mounted bait,KS10,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.56608796296297,6,TRUE,7.0121237780522145
Tree-mounted bait,KS11,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.48435185185184,0,FALSE,0
Tree-mounted bait,KS12,2024-09-06T12:28:58Z,2024-12-01T00:00:00Z,84.43587962962962,2,TRUE,2.3686612951423256
Tree-mounted bait,KS14,2024-09-05T12:22:16Z,2024-12-01T00:00:00Z,86.43745370370371,15,TRUE,17.353588470361515
Tree-mounted bait,KS15,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,86.44604166666667,0,FALSE,0
Tree-mounted bait,KS18,2024-09-06T11:00:00Z,2024-12-01T00:00:00Z,85.49375,19,TRUE,22.223846772424885
Tree-mounted bait,KS19,2024-08-12T09:23:50Z,2024-12-01T00:00:00Z,109.5812962962963,21,TRUE,19.163854334427846
Tree-mounted bait,KS20,2024-08-12T10:03:52Z,2024-12-01T00:00:00Z,110.50699074074073,21,TRUE,19.00332264885203
Tree-mounted bait,KS21,2024-08-12T11:38:42Z,2024-12-01T00:00:00Z,109.47199074074075,31,TRUE,28.317745745043016
Tree-mounted bait,KS22,2024-08-12T09:07:32Z,2024-12-01T00:00:00Z,109.58247685185185,19,TRUE,17.338538556385
Tree-mounted bait,KS23,2024-08-12T09:45:18Z,2024-12-01T00:00:00Z,109.5450925925926,16,TRUE,14.60585738834084
Tree-mounted bait,KS24,2024-08-12T11:54:32Z,2024-12-01T00:00:00Z,109.66585648148148,14,TRUE,12.766051758656609
Tree-mounted bait,KS27,2024-07-18T13:08:50Z,2024-12-01T00:00:00Z,136.5100462962963,13,TRUE,9.523108630249366
Tree-mounted bait,KS28,2024-10-03T12:16:04Z,2024-12-01T00:00:00Z,58.48206018518518,6,TRUE,10.259556487922659
Tree-mounted bait,KS29,2024-10-03T11:00:00Z,2024-12-01T00:00:00Z,57.541666666666664,2,TRUE,3.4757422157856626
Tree-mounted bait,KS30,2024-10-03T09:19:42Z,2024-12-01T00:00:00Z,57.61131944444444,3,TRUE,5.20731000249517
Tree-mounted bait,KS31,2024-10-03T09:58:42Z,2024-12-01T00:00:00Z,57.648032407407406,0,FALSE,0
Tree-mounted bait,KS32,2024-10-03T10:37:33Z,2024-12-01T00:00:00Z,57.78730324074074,1,TRUE,1.7304839366426568
